ev_vehicle_code,ev_name,ev_range,ev_type,launch_year,c_id
1,Model 3,1043,BEV,2012,1
2,Model S,1651,FCEV,2009,1
3,Honda E,1192,HEV,2007,2
4,Honda Fit EV,1198,FCEV,2010,2
5,AMG EQE,1774,BEV,2009,3
6,Maybach EQS,1833,FCEV,2019,3
7,Badger,1873,HEV,2008,9
8,Rivian R1T,1256,BEV,1992,6
9,Rivian R1S,1024,HEV,1992,6
10,FF91,1662,FCEV,2010,4
11,FFZERO1,1335,HEV,2001,4
12,Taycan EV,1252,BEV,2007,5
13,Macan EV,1865,HEV,2008,5
14,Toyota BZ4X,1725,FCEV,2023,6
15,Highlander Hybrid,1991,PHEV,2025,6
16,Escape,2006,BEV,2027,1
17,Centurion,2007,FCEV,2028,2
18,Tempest,1043,HEV,2029,3
19,Elysium,1651,FCEV,2030,4
20,Starlight,1192,BEV,2031,5
21,Blizzard,1198,FCEV,2021,6
22,Scout,1774,HEV,2040,9
23,Zeal,1833,BEV,2003,12
24,Ivory,1873,HEV,2030,10
25,Temperament,1256,FCEV,2025,14
26,NOCTOY,1024,HEV,2020,7
27,Cobra,1662,BEV,2024,12
28,W750,1335,HEV,2032,8
29,Tracer,1252,FCEV,2034,11
30,Blaze,1865,PHEV,2010,14
31,Tradition,1192,BEV,2073,13
32,Blizzard,1198,FCEV,2009,11
33,BOCTOY,1774,HEV,2050,7
34,Spirit,1833,FCEV,2001,13
35,Jazz,1873,BEV,2015,10
36,W444,1256,FCEV,2016,8
37,Dominion,1024,HEV,2040,16
38,Spire,1662,BEV,2039,18
39,Barrage,1335,HEV,2004,20
40,Prime,1252,FCEV,2038,17
41,Orbit,1865,HEV,2037,19
42,Presence,1900,BEV,2042,15
43,Behemoth,1600,HEV,2052,20
44,Evolution,1500,FCEV,2018,17
45,Sanctuary,1865,PHEV,1996,16
46,Blitz,1900,BEV,2009,18
47,Essence,1900,FCEV,2007,19
48,Aura,1000,HEV,2008,15
