item_code,item_name,purchase_price,sale_price,is_vendor,curr_stock,ev_code
1,Model 3,200000,250000,TRUE,5,1
2,Model S,250000,300000,FALSE,7,2
3,Honda E,300000,400000,TRUE,8,3
4,Maybach EQS,400000,500000,FALSE,2,6
5,Rivian R1T,500000,600000,TRUE,4,8
6,Taycan EV,600000,700000,FALSE,7,12
7,Badger,700000,800000,TRUE,4,7
8,Model 3,200000,250000,FALSE,10,1
9,Model S,250000,300000,TRUE,2,2
10,Badger,250000,350000,FALSE,22,7
11,Rivian R1S,1000000,1100000,FALSE,10,9
12,FF91,1100000,1200000,FALSE,12,10
13,FFZERO1,600000,700000,FALSE,25,11
14,Macan EV,300000,400000,FALSE,27,13
15,Blizzard,450000,550000,FALSE,14,21
16,Zeal,500000,550000,TRUE,20,23
17,NOCTOY,600000,650000,TRUE,11,26
18,Blaze,550000,650000,TRUE,17,30
20,Spirit,700000,750000,TRUE,23,34
21,Jazz,250000,350000,TRUE,8,35
22,W444,250000,350000,TRUE,2,36
23,Barrage,650000,750000,TRUE,4,39
24,Evolution,800000,900000,TRUE,7,44
25,Sanctuary,1000000,1100000,TRUE,4,45
26,Blitz,1100000,1200000,TRUE,10,46
27,Essence,600000,700000,TRUE,2,47
28,Aura,700000,800000,TRUE,28,48
