vendor_code,vendor_name,phone_number,address,city
1,Kelley Blue Book,9342282620,03 Cascade Pass,Vientiane
2,carmax,1036475197,2306 Miller Park,Salamanca
3,CarGurus,8959735466,5087 Manley Way,Ngozi
4,Edmonds,7839026421,70 Helena Circle,Myitkyina
5,TrueCar,1648143390,14295 Sutteridge Parkway,Sanhui
6,Carfax,4834990033,7 Mosinee Drive,Pandan
7,Autotrader,9439250558,270 Donald Point,Witzenhausen
8,Autoblog,4436358439,542 Monica Center,Ogurugu
9,myev,8224106020,6269 Spaight Street,Fosca
10,Carvana,2705667703,12 Beilfuss Drive,Cabinda
11,RichieCar,4369053087,8981 Westend Parkway,Klippan
12,FormulaE,7669470860,870 Vermont Place,Panchagarh
13,Jedi,7127179749,2974 Vera Terrace,Willemstad
14,BYD Auto,5129966310,2 3rd Avenue,Borek
15,Geely,5561869810,75798 Mcbride Court,Sabang
16,SAIC Motor,9039766754,965 Heffernan Drive,Shizong
